# omega_b	omega_cdm	H0	ln10^{10}A_s	n_s	tau_reio	m_ncdm_lightest	log10Gamma_nu
0.022604602217806018	0.1182037498832087	69.13458822628792	3.0020079476770514	0.965233892596274	0.024951206199606293	0.024737483703650674	4.550883690449014
0.0226648429918461	0.12133133583808203	67.83795489139236	3.024341838481909	0.9850482175508813	0.047650003967844363	0.020391766614184466	2.6797830133741822
0.02334856694532115	0.1169036975163919	69.71693847366149	3.145777875386056	0.9819073953009692	0.10835250885142114	0.01864206222165355	4.731382165699696
0.021809353342017408	0.11542592932750094	68.42121905836362	3.0227101499618905	0.9738613257046836	0.06333079291527237	0.06699888060174122	3.714053138901981
0.022021124836639597	0.12275645580988857	66.36777220418979	3.0619128363703854	0.962527622774571	0.0628090789689379	0.044846176259990995	5.059016234610333
0.023003314801320247	0.11851288589467848	68.67887907600365	3.059568141172041	0.9810957867598777	0.06008649814888125	0.12540850184979063	4.253058242068036
0.022506658655406464	0.11980163534826538	68.13152833839457	3.008061945306676	0.9451917138132362	0.03919522471983712	0.0686155144153763	4.195719895350216
0.022131241944033243	0.1207108358525844	68.08710889446539	3.0248214764340156	0.9697819802210947	0.03384655448354952	0.00366945652786804	3.39494084965803
0.0220772982554511	0.11675555936544788	68.57674785042373	3.0830102153628003	0.9780029101372157	0.0782367709973053	0.14451085330365193	3.39952492833764
0.022901077870599706	0.113778646468499	69.13863466548264	3.0567251020916886	0.9732372408239189	0.06547906018534147	0.0024662291886389967	5.021658661104492
0.0225163688503282	0.11752679052358464	68.57832175899307	3.093020599544618	0.9637563155185885	0.06398219553001513	0.07460125463473184	3.5500164342213716
0.022515797228225245	0.11982321325326695	67.51384244785976	3.01683697850907	0.9769824152603491	0.03245358221646376	0.051225623145132494	4.891123818913398
0.022427951391714322	0.11784329131583296	68.53573907549362	3.100719469222231	0.9644551996695215	0.1042146354264687	0.03078963077240923	3.934479903372936
0.022630634840352843	0.11501919709651483	68.82876526759259	3.078340749582942	0.9746106632639914	0.08202369413201335	0.07866178367362649	5.2266704502023265
0.0223095266148691	0.11740406585886959	67.95506023573792	2.9791837384856947	0.9575320050582297	0.031917066658086454	0.08384602327466102	3.7512770632227603
0.023321454320785334	0.11573770958503177	70.27922631165586	3.129776201406011	0.988829442268748	0.09904391965792791	0.043124529106008204	5.29825212000722
0.022573982283838733	0.12076549612499508	67.65940708380874	3.002712776498194	0.9761298601030597	0.03750728943766453	0.016559137566873723	2.7335309036814537
0.022778654864051787	0.11723674114144676	69.57020266086614	3.089673244360219	0.99554667304646	0.07996991172971916	0.006834380816419264	2.9694373698254126
0.022472009694584634	0.1133731342871017	70.34323115274016	3.024969438216039	0.9909771674936183	0.06237672365012431	0.031398474454519	5.1161754129103265
